type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
W	-53.658747548	121.021260711		1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	Untitled Placemark		20,2	

type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
T	33.746637637	73.133302184	627.8						
T	33.746646878	73.133308909	627.9						
T	33.746653840	73.133315831	627.9						
T	33.746665417	73.133322398	628.0						
T	33.746681709	73.133333612	628.1						
T	33.746700483	73.133349673	628.2						
T	33.746716984	73.133365983	628.3						
T	33.746728830	73.133377659	628.3						
T	33.746735893	73.133389766	628.3						
T	33.746740606	73.133402064	628.4						
T	33.746740684	73.133414679	628.3						
T	33.746740939	73.133429747	628.3						
T	33.746741238	73.133449864	628.2						
T	33.746734731	73.133485527	628.1						
T	33.746730183	73.133495881	628.0						
T	33.746721135	73.133519078	627.9						
T	33.746707644	73.133557574	627.6						
T	33.746703190	73.133572898	627.5						
T	33.746693973	73.133596057	627.3						
T	33.746680079	73.133616902	627.1						
T	33.746663896	73.133645342	626.9						
T	33.746645327	73.133661287	626.7						
T	33.746628886	73.133682146	626.5						
T	33.746599324	73.133700842	626.3						
T	33.746583525	73.133708932	626.2						
T	33.746561015	73.133717257	626.0						
T	33.746531835	73.133725811	625.8						
T	33.746516190	73.133728873	625.7						
T	33.746485033	73.133730039	625.5						
T	33.746471596	73.133725651	625.5						
T	33.746451446	73.133724033	625.4						
T	33.746413584	73.133703608	625.1						
T	33.746393688	73.133697172	625.0						
T	33.746367238	73.133674049	625.1						
T	33.746338862	73.133631739	625.2						
T	33.746328079	73.133620164	625.2						
T	33.746315132	73.133589389	625.3						
T	33.746300278	73.133544232	625.4						
T	33.746300306	73.133529720	625.4						
T	33.746300353	73.133505532	625.5						
T	33.746311308	73.133463579	625.5						
T	33.746313569	73.133453683	625.5						
T	33.746320070	73.133426556	625.6						
T	33.746342312	73.133375987	625.7						
T	33.746355388	73.133360322	625.8						
T	33.746379550	73.133314344	626.0						
T	33.746396460	73.133286374	626.1						
T	33.746415758	73.133245786	626.2						
T	33.746426343	73.133230374	626.3						
T	33.746442981	73.133195115	626.4						
T	33.746482916	73.133123765	626.7						
T	33.746496044	73.133097929	626.8						
T	33.746511347	73.133059529	626.9						
T	33.746528894	73.133018328	626.7						
T	33.746528879	73.133008461	626.6						
T	33.746537597	73.132985397	626.4						
T	33.746542298	73.132952539	626.2						
T	33.746542411	73.132937599	626.0						
T	33.746542657	73.132900272	625.7						
T	33.746538369	73.132826453	625.0						
T	33.746536138	73.132811904	624.8						
T	33.746531268	73.132783241	624.6						
T	33.746528912	73.132768848	624.4						
T	33.746524322	73.132754778	624.2						
T	33.746515301	73.132741330	623.9						
T	33.746501780	73.132726157	623.7						
T	33.746490546	73.132713137	623.4						
T	33.746477090	73.132700517	623.2						
T	33.746456940	73.132691508	623.0						
T	33.746439093	73.132687084	622.9						
T	33.746421357	73.132680194	622.7						
T	33.746397210	73.132679132	622.6						
T	33.746386388	73.132678295	622.6						
T	33.746371303	73.132678064	622.5						
T	33.746351993	73.132676019	622.5						
T	33.746328444	73.132679501	622.5						
T	33.746317778	73.132681079	622.5						
T	33.746305120	73.132682824	622.5						
T	33.746284421	73.132687685	622.6						
T	33.746261726	73.132695187	622.7						
T	33.746253482	73.132700980	622.8						
T	33.746245249	73.132706765	622.8						
T	33.746230854	73.132722878	623.1						
T	33.746222661	73.132728626	623.2						
T	33.746220617	73.132736039	623.3						
